TypeStmtBlock,TypeStmt
TypeStmt,TypePreparableStmt
TypeStmt,TypeAnalyzeStmt
TypeStmt,TypeCopyFromStmt
TypeStmt,TypeCommentStmt
TypeStmt,TypeExecuteStmt
TypeStmt,TypeDeallocateStmt
TypeStmt,TypeDiscardStmt
TypeStmt,TypeGrantStmt
TypeStmt,TypePrepareStmt
TypeStmt,TypeRevokeStmt
TypeStmt,TypeSavepointStmt
TypeStmt,TypeReassignOwnedByStmt
TypeStmt,TypeDropOwnedByStmt
TypeStmt,TypeReleaseStmt
TypeStmt,TypeRefreshStmt
TypeStmt,TypeNonpreparableSetStmt
TypeStmt,TypeTransactionStmt
TypeStmt,TypeCloseCursorStmt
TypeStmt,TypeDeclareCursorStmt
TypeStmt,TypeFetchCursorStmt
TypeStmt,TypeMoveCursorStmt
TypeStmt,TypeReindexStmt
TypeAlterStmt,TypeAlterDdlStmt
TypeAlterStmt,TypeAlterRoleStmt
TypeAlterStmt,TypeAlterTenantCsettingStmt
TypeAlterStmt,TypeAlterUnsupportedStmt
TypeAlterDdlStmt,TypeAlterTableStmt
TypeAlterDdlStmt,TypeAlterIndexStmt
TypeAlterDdlStmt,TypeAlterViewStmt
TypeAlterDdlStmt,TypeAlterSequenceStmt
TypeAlterDdlStmt,TypeAlterDatabaseStmt
TypeAlterDdlStmt,TypeAlterRangeStmt
TypeAlterDdlStmt,TypeAlterPartitionStmt
TypeAlterDdlStmt,TypeAlterSchemaStmt
TypeAlterDdlStmt,TypeAlterTypeStmt
TypeAlterDdlStmt,TypeAlterDefaultPrivilegesStmt
TypeAlterDdlStmt,TypeAlterChangefeedStmt
TypeAlterDdlStmt,TypeAlterBackupStmt
TypeAlterTableStmt,TypeAlterOnetableStmt
TypeAlterTableStmt,TypeAlterRelocateStmt
TypeAlterTableStmt,TypeAlterSplitStmt
TypeAlterTableStmt,TypeAlterUnsplitStmt
TypeAlterTableStmt,TypeAlterScatterStmt
TypeAlterTableStmt,TypeAlterZoneTableStmt
TypeAlterTableStmt,TypeAlterRenameTableStmt
TypeAlterTableStmt,TypeAlterTableSetSchemaStmt
TypeAlterTableStmt,TypeAlterTableLocalityStmt
TypeAlterTableStmt,TypeAlterTableOwnerStmt
TypeAlterPartitionStmt,TypeAlterZonePartitionStmt
TypeAlterViewStmt,TypeAlterRenameViewStmt
TypeAlterViewStmt,TypeAlterViewSetSchemaStmt
TypeAlterViewStmt,TypeAlterViewOwnerStmt
TypeAlterSequenceStmt,TypeAlterRenameSequenceStmt
TypeAlterSequenceStmt,TypeAlterSequenceOptionsStmt
TypeAlterSequenceStmt,TypeAlterSequenceSetSchemaStmt
TypeAlterSequenceStmt,TypeAlterSequenceOwnerStmt
TypeAlterSequenceOptionsStmt,TypeSequenceName
TypeAlterSequenceOptionsStmt,TypeSequenceOptionList
TypeAlterSequenceOptionsStmt,TypeSequenceName
TypeAlterSequenceOptionsStmt,TypeSequenceOptionList
TypeAlterDatabaseStmt,TypeAlterRenameDatabaseStmt
TypeAlterDatabaseStmt,TypeAlterZoneDatabaseStmt
TypeAlterDatabaseStmt,TypeAlterDatabaseOwner
TypeAlterDatabaseStmt,TypeAlterDatabaseToSchemaStmt
TypeAlterDatabaseStmt,TypeAlterDatabaseAddRegionStmt
TypeAlterDatabaseStmt,TypeAlterDatabaseDropRegionStmt
TypeAlterDatabaseStmt,TypeAlterDatabaseSurvivalGoalStmt
